id,imdb_id,title,original_title,overview,tagline,status,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages,homepage,adult,original_language,belongs_to_collection,poster_path,backdrop_path
2962,tt0130005,The End of the Homunculus,"Homunculus, 6. Teil: Das Ende des Homunculus","A group of scientists, led by a Professor Ortmann, produce a living human child using scientific processes - a ""homunculus."" This creature is human in every way, except that he cannot experience love.",,Released,59,01/01/1918,0,0,0.2968,5,4,"Horror, Science Fiction",,Germany,No Language,,FALSE,de,Homunculus,/zM6ezViHi7YmGXJJnAfwBshoXOW.jpg,
2963,tt0000499,The Impossible Voyage,Le Voyage ֳ  travers l'impossible,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",,Released,20,11/10/1904,10000,0,1.0324,7.233,191,"Adventure, Comedy, Fantasy, Science Fiction","Georges Mֳ©liֳ¨s, Star Film",France,No Language,,FALSE,fr,,/mnbGqzZ6bbgI3G1152HKCsJvXpf.jpg,/3bAtSq11UPIM08RP2h5eoDSWiMJ.jpg
2964,tt0008100,A Trip to Mars,Himmelskibet,"The navy captain Avanti Planetaros is inspired by his astronomer-father to travel through outer space to reach other worlds. He becomes an aviator and, along with the young scientist Dr. Krafft, the driving force behind the construction of a space-ship. Despite oppostion from the mocking Professor Dubius, Planetaros gathers a crew of fearless men and takes off. During the long voyage, the crew becomes restless; a mutiny is narrowly avoided. Finally, they reach Mars and discover that the planet is inhabited by people who have reached a higher stage of development, free of diseases, sorrow, violence, sexual urges, and the fear of death. Avanti falls in love with Marya, daughter of the Prince of Wisdom, the head of the Martians. Marya shares his feelings and decides to return with him in order to bring the wisdom of the Martians to the backward Earthlings. (stumfilm.dk)",,Released,81,2/22/1918,0,0,0.3449,6.4,32,"Science Fiction, Adventure, Fantasy",Nordisk Film Denmark,Denmark,No Language,,FALSE,da,,/41OY4EAtbxzTAWe13lzJSUlfi2U.jpg,/xXHcOp1Z3f0VB2N1sD6LVm6aMfy.jpg
2965,tt0118247,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea","In the 19th century, an expert marine biologist is hired by the government to determine what's sinking ships all over the ocean. His daughter follows him. They are intercepted by a mysterious captain Nemo and his incredible submarine.",Terror Lurks in the Depths...,Released,95,3/23/1997,0,0,1.962,6,20,"Adventure, Action, Science Fiction","Hallmark Entertainment, RHI Entertainment",United States of America,English,,FALSE,en,,/8kVSztb6A7gA0K4eFJIxjzgdiH0.jpg,
2967,tt0008826,Alraune,Alraune,It is a variation on the original legend of Alraune in which a Mad Scientist creates a beautiful but demonic child from the forced union between a woman and a Mandrake root. Not to be confused with the 1918 German version of Alraune.,,Released,80,01/01/1918,0,0,0.6618,0,0,"Science Fiction, Horror","Phoenix, Hunnia Filmstֳ÷diֳ³",Hungary,No Language,,FALSE,hu,,/sxbM6fUqHBKbcWCId6ypFAfZmtG.jpg,
2968,tt0008825,Sacrifice,"Alraune, die Henkerstochter, genannt die rote Hanne","Mad scientist, doctor Ten Brinken artificially inseminates a prostitute with a dead man's semen. The resulting child grows up to be a beautiful, evil woman who turns against her creator.",,Released,88,01/01/1918,0,0,0.3675,0,0,"Horror, Science Fiction","Luna-Film, Neutral-Film",Germany,No Language,,FALSE,de,,/nLK7lCB4Qv6kMMSNPOwBLqGAZVt.jpg,
2969,tt0017621,A Daughter Of Destiny,Alraune,"Hanns Heinz Ewers' grim science-fiction novel Alraune has already been filmed twice when this version was assembled in 1928. In another of his ""mad doctor"" roles, Paul Wegener plays Professor Brinken, sociopathic scientist who combines the genes of an executed murderer with those of a prostitute. The result is a beautiful young woman named Alraune (Brigitte Helm), who is incapable of feeling any real emotions -- least of all guilt or regret. Upon attaining adulthood, Alraune sets about to seduce and destroy every male who crosses her path. Ultimately, Professor Brinken is hoist on his own petard when he falls hopelessly in love with Alraune himself. Alraune was remade in 1930, with Brigitte Helm repeating her role, and again in 1951, with Hildegarde Knef as the ""heroine"" and Erich von Stroheim as her misguided mentor.",,Released,108,1/25/1928,0,0,0.3423,6.4,20,"Drama, Fantasy, Science Fiction, Horror",Ama-Film,Germany,No Language,,FALSE,de,,/iiyGr1iO8DEDEOlFKCImUSnqYR6.jpg,/omnBIH5hlh9a927Zyfwye8ELpmP.jpg
2970,tt0020635,Alraune,Alraune,"A scientist, Professor Jakob ten Brinken, interested in the laws of heredity, impregnates a prostitute in a laboratory with the semen of a hanged murderer. The prostitute conceives a female child who has no concept of love, whom the professor adopts. The girl, Alraune, suffers from obsessive sexuality and perverse relationships throughout her life. She learns of her unnatural origins and she avenges herself against the professor.",,Released,103,03/02/1930,0,0,0.7301,5.214,7,"Science Fiction, Horror",Richard Oswald Produktion,Germany,German,,FALSE,de,,/lHTglu6doHISI6aRAAy2pN8nlmo.jpg,
2971,tt0044344,Alraune,Alraune,"In the 1800s, a stormy love relationship develops quickly between a young medical student and a woman believing herself to be the daughter of his scientist uncle, the student having never heard of her before their chance encounter and both unaware that she is the result of the scientist's illegal experiments with artificial insemination..",Born outside the laws of God and man!,Released,92,10/22/1952,0,0,0.8234,5.3,14,"Drama, Science Fiction, Romance, Horror","Deutsche Styria Film GmbH, Carlton-Film",Germany,German,,FALSE,de,,/xML3O2J1zhnjw1sTcVga0oBpctc.jpg,/i5Nstf74IDOU7rKxVt7rx23V34Z.jpg
2972,tt0011237,The Golem: How He Came Into the World,"Der Golem, wie er in die Welt kam","In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",,Released,85,10/28/1920,0,0,2.3552,6.9,215,"Fantasy, Horror",Projektions-AG Union,Germany,No Language,,FALSE,de,The Golem Trilogy,/7zdqM0MgZBfy3tuJdNO4cWAGBtj.jpg,/fEKaCcsnZMGyBcXATR9D6B6x2yR.jpg
2973,tt0014646,Aelita: Queen of Mars,׀ׁ׀»׀¸ׁ‚׀°,"A young man travels to Mars in a rocket ship, where he leads a popular uprising against the ruling group with the support of Queen Aelita, who has fallen in love with him after watching him through a telescope.",,Released,111,9/24/1924,0,0,0.7815,6,75,"Science Fiction, Drama, Fantasy",Mezhrabpomfilm,Soviet Union,No Language,,FALSE,ru,,/upbsUNnumqc2VieQzkAyhZAt9gj.jpg,/wkDZ7F7Fy2z7T4SIEMlDh0r2lyH.jpg
2974,tt0015202,The Hands of Orlac,Orlacs Hֳ₪nde,"A world-famous pianist loses both hands in an accident. When new hands are grafted on, he is horrified to learn they once belonged to a murderer.",,Released,98,9/24/1924,0,0,1.5258,6.82,97,"Horror, Thriller, Mystery",Pan-Film KG Wien,Austria,No Language,,FALSE,de,,/40WWy1SSx8rh1r4mn1MNpCKIteF.jpg,/35Bh31PwHD1c4QoF5Otn1Tpm7I9.jpg
2976,tt0427327,Hairspray,Hairspray,"Pleasantly plump teenager Tracy Turnblad auditions to be on Baltimore's most popular dance show - The Corny Collins Show - and lands a prime spot. Through her newfound fame, she becomes determined to help her friends and end the racial segregation that has been a staple of the show.","When you follow your own beat, the world will follow you.",Released,117,7/19/2007,75000000,90450008,8.5881,6.7,2508,"Comedy, Romance, Drama","New Line Cinema, Zadan / Meron Productions, Ingenious Film Partners","United Kingdom, United States of America",English,http://www.hairspraymovie.com,FALSE,en,,/fgMka3HtFvI5OgW1eYdR9XpySxH.jpg,/oO55Z71apssUy4Cf0obsK2kX3oK.jpg
2977,tt0416508,Becoming Jane,Becoming Jane,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,Her own life is her greatest inspiration.,Released,120,03/02/2007,16500000,37311672,5.2355,7.308,1187,"Romance, Drama","Ecosse Films, 2 Entertain, Scion Films, BBC Film, Blueprint Pictures, Fֳ­s ֳ‰ireann/Screen Ireland, HanWay Films, UK Film Council","United Kingdom, Ireland",English,,FALSE,en,,/yHA6JEn57MBGp2yGFgYyopJvk2O.jpg,/r95IP56O3j8fz9a09x55lymr9uJ.jpg
2978,tt0097428,Ghostbusters II,Ghostbusters II,"Having lost their status and credibility five years after covering New York City with gooey roasted marshmallows in Ghostbusters (1984), the city's former heroes and once-popular spirit-hunters struggle to keep afloat, forced to work odd jobs. However, when Dana and her baby have yet another terrifying encounter with the paranormal, it is up to Peter Venkman and his fearless team of supernatural crime fighters to step up and save the day. Once more, humankind is in danger, as rivers of slimy psycho-reactive ectoplasm, paired with the dreadful manifestation of evil sixteenth-century tyrant Vigo the Carpathian, threaten to plunge the entire city into darkness. Is the world ready to believe? Can the Ghostbusters save us for the second time?",Guess who's coming to save the world again?,Released,108,6/16/1989,37000000,215394738,5.6365,6.585,4543,"Comedy, Fantasy",Columbia Pictures,United States of America,English,http://www.ghostbusters.com,FALSE,en,Ghostbusters Collection,/yObYPMA58DnTMvJooFW7GG6jWAt.jpg,/qBAfvEIpywGYknzOGGzrif7C4Qu.jpg
2981,tt0016039,The Lost World,The Lost World,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,Sir Arthur Conan Doyle's Stupendous Story,Released,104,02/02/1925,0,0,1.8006,6.684,147,"Adventure, Fantasy, Drama, Horror, Romance, Science Fiction, Thriller",First National Pictures,United States of America,No Language,,FALSE,en,,/411VnWtYJdEFKiaGqJOeTmBv8th.jpg,/mdNae6nOlJ7iKxFgsWSAgxU9shS.jpg
2982,tt0054038,The Lost World,The Lost World,Professor Challenger leads an expedition of scientists and adventurers to a remote plateau deep in the Amazonian jungle to verify his claim that dinosaurs still live there.,"In the middle of the twentieth century, you fall off the brink of time!",Released,97,7/13/1960,0,0,3.2874,5.7,98,"Adventure, Fantasy, Science Fiction",20th Century Fox,United States of America,English,,FALSE,en,,/hYL7AKgi7V50OsEaGX6ct9MkRas.jpg,/z5Dttswiv2w78RNclaB9CGclpWo.jpg
2983,tt0104759,The Lost World,The Lost World,"Unfazed by ridicule from fellow scientists, professor Challenger (John Rhys-Davies) leads an expedition to investigate rumored sightings of prehistoric life still thriving in the unexplored African jungle. He's joined by a thrill-seeking journalist, his archrival and a beautiful adventurer on a perilous trek through mysterious and uncharted territory, filled with danger and deception. David Warner, Eric McCormack and Tamara Gorski co-star.",,Released,99,01/01/1992,0,0,1.9231,5.2,22,"Adventure, Fantasy, Science Fiction","Harmony Gold, Silvio Berlusconi Communications",Canada,English,,FALSE,en,The Lost World Collection,/jJQovqiutwWadYa7r42iyMT3l9U.jpg,/JrQJCQnE5DEowyK88AS6VdEKVd.jpg
2984,tt0061523,A Countess from Hong Kong,A Countess from Hong Kong,A Russian countess stows away in the stateroom of a married U.S. diplomat bound for New York.,"Fun at Sea! His Cabin, His PJs, Her Move!",Released,107,01/05/1967,3500000,2000000,2.5104,6.1,168,"Comedy, Romance","Universal Pictures, Charles Chaplin Productions",United Kingdom,English,,FALSE,en,,/dquOunnHxQXBVOOiqkdtGWIK1lP.jpg,/xGaloya0EgeP0BGbxm2lTEX82Zo.jpg
2985,tt0063696,Tiger by the Tail,Tiger by the Tail,"Vietnam war hero, accused of murdering his brother, recruits his socialite girlfriend to hunt for the real killer.","They tried to frame him for robbery and murder, but they had a ... Tiger By The Tail",Released,99,01/01/1970,0,0,1.9951,5,6,"Drama, Thriller",United States Moving Picture Corporation,United States of America,English,,FALSE,en,,/72Oz5DSaHSlYdNtGHgszR7kMZqJ.jpg,/oVU8mRUg4PO6tlUQ9kx9NT00kLI.jpg
2986,tt0059680,Satan's Harvest,Satan's Harvest,"Cutter Murdock inherits an estate in Africa on which ""Satan's Harvest"" (heroin and marijuana) is grown. The thugs growing the drugs want him out of the way, so things get messy.",,Released,90,02/01/1970,0,0,0.6174,5,6,"Action, Crime",Killarney Film Studios,South Africa,English,,FALSE,en,,/qOS18CqjlH1y8BAIV1jWxMQYlLA.jpg,
2987,tt0070416,Mr. Kingstreet's War,Mr. Kingstreet's War,"A couple sets up an African game preserve, only to have British and Italian armies fight over the waterholes.",,Released,92,05/01/1973,0,0,0.7854,6,2,"Drama, History",,South Africa,English,,FALSE,en,,/70JYFGnHqyoYYk0uX7oYJthDnqX.jpg,/sITjjm7DGnpALZKVouCrCgSfHeR.jpg
2988,tt0070157,The Harrad Experiment,The Harrad Experiment,"At fictional Harrad College students learn about sexuality and experiment with each other. Based on the 1962 book of the same name by Robert Rimmer, this movie deals with the concept of free love during the height of the sexual revolution which took place in the United States.","Harrad College... where free, liberated relations between coed students are encouraged!",Released,95,05/11/1973,400000,0,3.215,3.7,13,"Drama, Romance",Cinema Arts Productions,United States of America,English,,FALSE,en,Harrad College Collection,/mA3TP5M4UcdySTdkHb8oTXWVxUn.jpg,/by2JkjVMFwiQsEWZwtJY5Ibw0oZ.jpg
2989,tt0083001,Roar,Roar,Roar follows a family who are attacked by various African animals at the secluded home of their keeper.,No animals were harmed in the making of this movie. 70 members of the cast and crew were.,Released,102,10/30/1981,17000000,2000000,3.616,5.925,120,"Adventure, Horror, Thriller",American Filmworks,United States of America,English,http://www.roarthemovie.com/,FALSE,en,,/oN7FZe6qNAAb46MpgbIyua8fJy7.jpg,/iJCJ1ThBmuYtJyi3rgQWl56qVXt.jpg
2990,tt0100318,Pacific Heights,Pacific Heights,A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.,"They were the perfect couple, buying the perfect house. Until a perfect stranger moved into their lives.",Released,102,9/28/1990,18000000,55000000,5.496,6.3,380,"Thriller, Drama, Mystery","Morgan Creek Entertainment, 20th Century Fox",United States of America,English,,FALSE,en,,/9iHD6xIrGSuuMEFWhwSVGXSddY2.jpg,/duelwmJcXTeEs2huscpxZ97QqOx.jpg
2991,tt0070031,A Diary of a Murderess,La encadenada,"A beautiful young woman sets her sights on an aging millionaire. She seduces him, and moves into his mansion with him. She soon tires of him, though, and after she gets rid of him, she goes after his son.",When you plan a murder don't write it down...your victim might read it!,Released,95,05/04/1975,0,0,1.1787,5.8,9,"Thriller, Drama","Emaus Films S.A., Metheus Film","Italy, Spain","English, Spanish",,FALSE,es,,/ydpW45KKvZnl09VOPqL6bnQn1tA.jpg,/f8FjawNDHhK2AeUZPSmT6viGldv.jpg
2992,tt0149698,Appetite,Appetite,"The guests of the Station Hotel have assembled to play a game of cards. The loser will sleep in room 207, a room rumored to be haunted. It hasn't been slept in for 20 years.  As their lives tangle in a paranoid deadlock, the only escape becomes murder.",Lust. Revenge. Mystery. Murder. And that's just for starters.,Released,97,08/12/1998,0,0,1.1735,2.9,6,"Horror, Thriller","101 Productions, Schlemmer Film, Loud Mouse Productions",United Kingdom,English,,FALSE,en,,/jkXx2LHwpbmLyurhzA3AsMs1Pth.jpg,
2993,tt0065148,One on Top of the Other,Una sull'altra,A San Francisco doctor encounters a prostitute who bears a striking resemblance to his late wife.,"What Is The Most Incredible Thing A Woman Ever Did For $1,000,000?",Released,108,8/15/1969,0,0,1.9509,6.5,79,"Mystery, Thriller","Les Productions Jacques Roitfeld, Empire Films, Trֳ©bol Films C.C.","France, Italy, Spain",Italian,http://www.severin-films.com/perl/search.pl?CO=SEV1109,FALSE,it,,/jHq7UY8edzYHoVjkhJVXln8sWYX.jpg,/640XC826YZjf2NrqRjD1Kz9LnX6.jpg
2994,tt0062861,Danger: Diabolik,Diabolik,"International man of mystery Diabolik and his sensuous lover Eva Kant pull off heist after heist, all while European cops led by Inspector Ginko and envious mobsters led by Ralph Valmont are closing in on them.","Out for all he can take, seduce, or get away with...",Released,100,1/24/1968,400000,0,2.2629,6.327,222,"Action, Crime, Thriller","DDL Cinematografica, Marianne Productions","France, Italy",Italian,,FALSE,it,Diabolik Collection,/ozU1Qgu3CqWg2MWz8God3P6PoF3.jpg,/6QkOfz0182NfA5cj6YZEZbheUl0.jpg
2995,tt0059433,Masquerade,Masquerade,The British send an American and a war hero to kidnap and hide an oil-country prince.,Who is Doing What to Who?,Released,102,4/13/1965,0,0,1.1715,5,13,"Comedy, Adventure, Thriller",Michael Relph Productions,United Kingdom,English,,FALSE,en,,/n74iYlPohvkk4waaXTpUVDRaonU.jpg,/otAte193ABa8tNl3QyMzAAloYdo.jpg
2996,tt0938313,The Lost World,The Lost World,"Arthur Conan Doyle's ""Lost World"" performed live as a filmed audio drama.",,Released,45,08/01/1998,0,0,2.3883,6,1,"Science Fiction, TV Movie","Alien Voices, Sci-Fi Channel",United States of America,English,,FALSE,en,,,
2997,tt0138581,The Lost World,The Lost World,A scientist discovers dinosaurs on a remote plateau in Mongolia.,The Original Adventure To A World Like No Other,Released,97,10/13/1998,0,0,1.2574,4.8,20,"TV Movie, Adventure, Science Fiction",Trimark Pictures,"Canada, United States of America",English,,FALSE,en,,/pTOoIVMCEMLgnhotdD1gGdhyPO2.jpg,/tJXDQyjsvN7AES2qXh7OaSXOvWU.jpg
2998,tt0066601,Zabriskie Point,Zabriskie Point,"Anthropology student Daria, who's helping a property developer build a village in the Los Angeles desert, and dropout Mark, who's wanted by the authorities for allegedly killing a policeman during a student riot, accidentally encounter each other in Death Valley and soon begin an unrestrained romance.",How you get there depends on where you're at.,Released,113,3/26/1970,7000000,1000000,2.852,7.1,404,Drama,"Metro-Goldwyn-Mayer, Carlo Ponti Production","Italy, United States of America",English,,FALSE,en,,/uelo2oMg4fM51LAm4eEArEwOHXZ.jpg,/nLb3TOTjgvvjmHnUmlkg4Rwq9jG.jpg
3001,tt0060522,How to Steal a Million,How to Steal a Million,A woman must steal a statue from a Paris museum to help conceal her father's art forgeries.,A movie about those who appreciate the finest things in life... for free!,Released,123,7/13/1966,6400000,4400000,3.5847,7.498,604,"Comedy, Crime, Romance","World Wide Productions, 20th Century Fox",United States of America,English,,FALSE,en,,/dkCHsyFdyA63nUXzEvDvqNhqUuO.jpg,/jXPrGgk6PypAsv8IPq8NqlQi6ts.jpg
3002,tt0191252,The Lost World,The Lost World,A group of unlikely allies are assembled to go on an expedition deep within the Amazon forest in search of new discoveries.,,Released,92,02/01/1999,0,0,1.4827,5.962,13,"Adventure, Science Fiction, TV Movie",The Over the Hill Gang,United States of America,English,,FALSE,en,,/k4NmOigSNycvCEi562rWmzCOpIM.jpg,/A25GFydnHf5Kt2OrvfzlR5L6jDL.jpg
3003,tt0302739,The Lost World,The Lost World,"This Lost World is a splendid BBC TV dramatisation of Sir Arthur Conan Doyle's famous adventure story. Bob Hoskins makes an unusually genial Professor Challenger, far less of a bully than Doyle's character, but his slightly stereotyped companions are nicely filled out by a solid cast. James Fox is Challenger's more timid but still covertly adventurous rival, Tom Ward is the moustachioed big game hunter who faces an Allosaurus with an elephant gun, and Matthew Rhys plays the tagalong reporter hoping to impress his faithless fiancֳ©e.",,Released,150,12/25/2001,0,0,3.4657,6.007,67,"Adventure, Fantasy, Science Fiction, TV Movie","RTL, BBC, A+E Studios","Germany, United Kingdom, United States of America",English,,FALSE,en,,/22PtJeHtI19j15nkQiM561Ng7cH.jpg,/kENpaFN3dKuAcsESuwXRwGrSRZk.jpg
3004,tt0065361,Twelve Plus One,12 + 1,"Mario, a young philanderer, receives 13 antique chairs in a bad state by inheritance and decides to sell off them to get some money. Afterwards he gets to know that one of them contains documents worth a lot of money. So he begins an adventurous trip to regain possession of the chair. On the way he meets many strange people who would like to help or to swindle him.","Sharon Tate, in her last movie, finally released to the public!!",Released,94,10/07/1969,0,0,1.2859,5.3,26,Comedy,"Compagnia Generale Finanziaria Cinematografica, Comptoir Franֳ§ais de Productions Cinֳ©matographiques (CFPC), Girouxfilms","France, Italy",English,,FALSE,en,,/aFl6Xujo7P9Itt5cPSzsIJQQffa.jpg,/dk5swBO7et0usbxehhkCGPokoZe.jpg
3006,tt0126875,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,,,Released,16,08/07/1908,0,0,0.6148,0,0,"Fantasy, Horror",Selig Polyscope Company,United States of America,English,,FALSE,en,,/hYArtU4tx01bOBeBLrkH1lY4VGb.jpg,
3007,tt0019901,Woman in the Moon,Frau im Mond,"A scientist discovers that there's gold on the moon. He builds a rocket to fly there, but there's too much rivalry among the crew to have a successful expedition.",,Released,170,10/14/1929,0,0,1.2779,7.159,104,"Drama, Science Fiction, Romance","UFA, Fritz Lang-Film",Germany,No Language,,FALSE,de,,/7s6zEsOAY3LD5qvzljmKKzjnLiT.jpg,/cvAOkB5bryGWbxp8SqD1ovEsF4v.jpg
3008,tt0060045,10:30 P.M. Summer,10:30 P.M. Summer,A female traveling companion seduces a married man and his alcoholic wife.,Claire's body - I never looked at her naked without seeing her with Paul,Released,85,10/24/1966,0,0,0.5223,5.44,25,"Drama, Romance","Jorilie, Argos films, United Artists","Spain, United States of America","English, French",,FALSE,en,,/zEEifnz7dswBLA5hAIBe2xTHRaj.jpg,/w4eANiESWzXXSoLgLDnLUr9We2P.jpg
3009,tt0057427,The Trial,Le Procֳ¨s,"Josef K wakes up in the morning and finds the police in his room. They tell him that he is on trial but nobody tells him what he is accused of. In order to find out about the reason for this accusation and to protest his innocence, he tries to look behind the faֳ§ade of the judicial system. But since this remains fruitless, there seems to be no chance for him to escape from this nightmare.",The Most Remarkable Motion Picture Ever Made!,Released,119,12/21/1962,1300000,94243,3.6442,7.423,509,"Crime, Drama, Mystery","Hisa-Film, Paris-Europa Productions, Finanziaria Cinematografica Italiana (FICIT)","France, Germany, Italy",English,,FALSE,en,,/2o1oe54a4doiwB4uJq9Kx1RHal0.jpg,/yhfHeIsR5Ki02b5SqBuLqAsLDCk.jpg
3010,tt0056907,The Cardinal,The Cardinal,"A young Catholic priest from Boston confronts bigotry, Nazism, and his own personal conflicts as he rises to the office of cardinal.",A motion picture that spans two decades of conflict and drama as it tells the story of a young American and his rise to prince of the church.,Released,175,12/12/1963,0,11170588,4.1016,6.5,42,"Drama, History, War","Otto Preminger Films, Columbia Pictures",United States of America,"German, English, Latin",,FALSE,en,,/y23FoRE97IH9bHFo2OBP5IkKnLq.jpg,/qmSndmoRi5s3F4zTZpVvBIYcmTc.jpg
3011,tt0058153,Good Neighbor Sam,Good Neighbor Sam,"To help his divorced neighbor claim a substantial inheritance, a family man poses as her husband. The ruse spills over into his career in advertising, and his recent promotion relies on his wholesome and moral appearance.",Slam! Bam! Here comes Sam!...Caught in the Middle of a Two-Woman Jam!,Released,130,7/22/1964,0,9072726,4.1656,6.4,46,Comedy,Columbia Pictures,United States of America,English,,FALSE,en,,/vOyKPfJKzoVlFMWAZJSORYqynRG.jpg,/AjAh4kC9EPmbM4EuyQpM0TCGkIR.jpg
3012,tt0057652,The Victors,The Victors,"Intercutting dramatic vignettes with newsreel footage, the story follows the characters from an infantry squad as they make their way from Sicily to Germany during the end of World War II.",A Shattering Entertainment Experience!,Released,175,11/22/1963,0,0,2.0577,6.3,23,"Drama, War","Highroad Productions, Columbia Pictures, Open Road Films","United Kingdom, United States of America","English, German",,FALSE,en,,/hf75NRJBrDQgo2Y7MkXcPopGOFy.jpg,/dYCmzdD0INOsNRoJOjqCLsirl4M.jpg
3013,tt0078879,Bloodline,Bloodline,"A pampered heiress inherits her father's pharmaceutical empire when he dies in a suspicious accident, and soon finds herself surrounded by ruthless board members and grasping family members who will seemingly stop at nothing to profit.",The line between love and death is the bloodline.,Released,116,6/29/1979,12000000,8200000,2.142,4.9,42,"Crime, Thriller","NF Geria III-Produktion Mֳ¼nchen, Paramount Pictures, Bavaria Film","Germany, United States of America",English,,FALSE,en,,/bMiBusE5lhrZN0z4DXHlg3LXkSf.jpg,/ewS7KWgEFj8TQ6SeWyJaV2Zlvlh.jpg
3014,tt0046031,The Man Between,The Man Between,A British woman on a visit to post-war Berlin is caught up in an espionage ring smuggling secrets into and out of the Eastern Bloc.,Terror! Vice! Violence! He stopped at nothing!,Released,100,11/18/1953,0,0,1.3518,7.1,60,Thriller,London Films Productions,United Kingdom,"Russian, German, English",,FALSE,en,,/nXKmv6vF17wntw0s1vHVgm2DQze.jpg,/rBOntYgK9u7k51RKvktcWxitnXV.jpg
3015,tt0011348,The Head of Janus,Der Janus-Kopf,Two opposing characters are hidden in the person of the inconspicuous London gentleman Dr. Warren and Janus. Lost film.,,Released,107,8/26/1920,0,0,0.6194,0,0,"Horror, Science Fiction, Drama","Lipow-Film, Decla-Bioscop",Germany,German,,FALSE,de,,/QomFFEz7FN5plcSmEhAGT2OdGL.jpg,/j47aNKg3pdvJ2jM66RxjLWb4Aty.jpg
3016,tt0011130,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,A doctor's research into the roots of evil turns him into a hideous depraved fiend.,The world's greatest actor in a tremendous story of man at his best and worst!,Released,79,3/18/1920,0,0,1.8913,6.757,144,"Horror, Science Fiction, Drama",Famous Players-Lasky Corporation,United States of America,No Language,,FALSE,en,,/u8OL0RbTNzqqB1WmkxroTBXohnv.jpg,/tQRHrssevbysfmDG9FbA86qesCH.jpg
3017,tt0011131,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",,Released,60,04/01/1920,0,0,0.4482,5.7,7,"Drama, Horror, Science Fiction",Pioneer Film Corporation,United States of America,English,,FALSE,en,,/5Hw6imY9cCLX6jaoMtstZbHnHhw.jpg,
3019,tt0022835,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,"Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",Put yourself in her place! The dreaded night when her lover became a madman!,Released,98,12/24/1931,535000,1300000,2.8519,7.241,299,"Horror, Science Fiction, Drama",Paramount Pictures,United States of America,English,,FALSE,en,,/mZtQORzQWkCSqeeHApH6vJDA1D2.jpg,/i2Wb6QsKg14tl4p9HgJENfUCqhh.jpg
3021,tt0450385,1408,1408,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",The Dolphin Hotel invites you to stay in any of its stunning rooms. Except one.,Released,112,6/22/2007,25000000,133000000,8.7513,6.692,4531,"Horror, Mystery","Dimension Films, di Bonaventura Pictures",United States of America,English,,FALSE,en,,/yE9MCW7ZNxSw5SC1TMqm51pMBIV.jpg,/e6GXJOyRSFsGOwGHnG1TmLuqN9N.jpg
3022,tt0033553,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,"Dr. Jekyll believes good and evil exist in everyone and creates a potion that allows his evil side, Mr. Hyde, to come to the fore. He faces horrible consequences when he lets his dark side run amok.",It CHILLS you! Half-MAN! Half-MONSTER!,Released,113,08/12/1941,0,0,3.4057,6.441,169,"Drama, Horror, Science Fiction",Metro-Goldwyn-Mayer,United States of America,English,,FALSE,en,,/2GDdW84XSX3BYMJ9tmnFkZOGJyB.jpg,/AlYEWpTN09IKc2nxj1eHu4zpfsZ.jpg
3023,tt0045469,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,"As American policemen in London, Bud and Lou meet up with Dr. Jekyll and Mr. Hyde.",The laughs are twice as MONSTER-OUS as ever before!,Released,77,08/01/1953,724805,2616000,1.9343,6.3,82,"Comedy, Horror, Mystery, Science Fiction",Universal Pictures,United States of America,English,,FALSE,en,,/spZzSuujqiYHMK5pIvJOS5LDYD0.jpg,/9uxrsVcRCTuSmQ4CB8XUfE35Co2.jpg
